,id,superficie,fecha,lat,lng,latlng_explicit,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right
31110,2005200008,2.0,2005-03-19,43.291032,-1.929057,1,1,20,903,ASTIGARRAGA,5,,0,,,280,330,10,1,,6497.0,2005,3,Gipuzkoa,Menos_de_24h,1,POINT (-1.929057 43.291032),19
31118,2005200024,3.0,2005-06-22,42.961777,-2.179196,1,1,20,15,ATAUN,5,,0,,,200,440,19,5,,11633.0,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.179196 42.961777),19
31119,2005200029,1.0,2005-06-05,43.301984,-2.050615,1,1,20,69,DONOSTIA-SAN SEBASTIÁN,5,,0,,,135,350,13,1,,,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.050615 43.301984),19
31121,2005200032,2.08,2005-06-27,43.076871,-2.513591,1,1,20,55,ARRASATE/MONDRAGÓN,5,,0,,,327,660,25,2,,10447.0,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.513591 43.076871),19
39764,2006200001,1.6,2006-03-15,42.995087,-2.415285,1,1,20,59,OÑATI,5,,0,,,190,200,20,1,,,2006,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.415285 42.995087),19
39765,2006200002,1.5,2006-03-16,42.970758,-2.446835,1,1,20,59,OÑATI,5,,0,,,210,360,1,0,,,2006,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.446835 42.970758),19
47890,2008200004,1.25,2008-02-09,42.969224,-2.440521,1,1,20,59,OÑATI,5,,0,,,180,300,14,0,,,2008,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.440521 42.969224),19
52451,2009200007,1.25,2009-03-21,43.169023,-2.382294,1,1,20,65,SORALUZE/PLASENCIA DE ARMAS,5,,0,,,149,288,10,1,,5361.0,2009,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.382294 43.169023),19
52457,2009200026,1.6,2009-09-14,42.998197,-2.439461,1,1,20,59,OÑATI,5,,0,,,140,300,29,2,,76.0,2009,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.439461 42.998197),19
57937,2010200031,2.5,2010-06-04,42.970378,-2.48695,1,1,20,34,ESKORIATZA,5,,0,,,370,490,6,0,,,2010,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.48695 42.970378),19
57941,2010200038,14.5,2010-09-03,43.204708,-2.479845,1,1,20,30,EIBAR,5,,0,,,289,570,65,5,,2547.0,2010,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.479845 43.204708),19
67850,2012200013,1.7,2012-03-29,43.061772,-2.103994,1,1,20,1,ABALTZISKETA,5,,0,,,92,155,18,1,,15840.0,2012,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.103994 43.061772),19
67851,2012200015,1.65,2012-04-01,43.269759,-1.823271,1,1,20,63,OIARTZUN,5,,0,,,95,115,5,0,,,2012,4,Gipuzkoa,Menos_de_24h,2,POINT (-1.823271 43.269759),19
67854,2012200029,1.74,2012-09-22,42.979443,-2.562068,1,1,20,68,LEINTZ-GATZAGA,5,,0,,,125,185,6,0,,,2012,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.562068 42.979443),19
76018,2014200002,2.5,2014-01-10,43.33343216,-1.87715697,1,1,20,53,LEZO,5,,0,,,135,300,33,2,,12934.0,2014,1,Gipuzkoa,Menos_de_24h,,POINT (-1.87715697 43.33343216),19
79441,2015200029,2.0,2015-12-26,43.20394882,-2.12253378,1,1,20,14,ASTEASU,5,,0,,,325,335,10,3,,,2015,12,Gipuzkoa,Menos_de_24h,4,POINT (-2.12253378 43.20394882),19
79443,2015200032,23.5,2015-12-30,43.19847903,-2.00643444,1,1,20,9,ANDOAIN,5,,0,,,435,2595,33,5,,140740.0,2015,12,Gipuzkoa,Entre_1dia_y_1semana,4,POINT (-2.00643444 43.19847903),19
79444,2015200033,2.5,2015-12-30,43.2014708,-2.4787031,1,1,20,30,EIBAR,5,,0,,,138,195,17,2,,,2015,12,Gipuzkoa,Menos_de_24h,4,POINT (-2.4787031 43.2014708),19
4,2001010017,1.04,2001-07-20,43.091715,-3.024574,1,1,1,10,AIARA/AYALA,5,,0,,,45,75,11,2,270.0,2866.0,2001,7,Araba/Álava,Menos_de_24h,3,POINT (-3.024574 43.091715),0
6,2001010020,11.84,2001-08-01,42.586275,-2.488137,1,1,1,60,IECORA/YÉCORA,5,,0,,,130,280,26,6,2140.0,22982.0,2001,8,Araba/Álava,Menos_de_24h,3,POINT (-2.488137 42.586275),0
6949,2002010047,27.83,2002-07-27,42.749455,-2.877808,1,1,1,47,ERRIBERA BEITIA/RIBERA BAJA,5,,0,,,255,640,55,11,9209.0,91894.0,2002,7,Araba/Álava,Menos_de_24h,3,POINT (-2.877808 42.749455),0
14751,2003010015,1.0,2003-07-22,42.532802,-2.634695,1,1,1,41,NAVARIDAS,5,,0,,,105,180,1,0,25.0,834.0,2003,7,Araba/Álava,Menos_de_24h,3,POINT (-2.634695 42.532802),0
14756,2003010024,1.45,2003-08-07,42.757085,-2.42563,1,1,1,37,ARRAIA-MAEZTU,5,,0,,,90,150,21,2,822.0,2676.0,2003,8,Araba/Álava,Menos_de_24h,3,POINT (-2.42563 42.757085),0
21380,2004010010,4.02,2004-04-16,42.523444,-2.53735,1,1,1,31,LAGUARDIA,5,,0,,,225,255,6,1,865.0,4213.0,2004,4,Araba/Álava,Menos_de_24h,2,POINT (-2.53735 42.523444),0
21390,2004010041,3.5,2004-09-28,42.559696,-2.597992,1,1,1,31,LAGUARDIA,5,,0,,,165,270,6,1,313.0,315.0,2004,9,Araba/Álava,Menos_de_24h,3,POINT (-2.597992 42.559696),0
29029,2005010005,3.62,2005-03-13,42.805472,-2.576836,1,1,1,59,VITORIA-GASTEIZ,5,,0,,,295,360,12,1,832.0,10627.0,2005,3,Araba/Álava,Menos_de_24h,1,POINT (-2.576836 42.805472),0
29037,2005010021,6.08,2005-07-22,42.722471,-2.914503,1,1,1,47,ERRIBERA BEITIA/RIBERA BAJA,5,,0,,,100,237,53,11,12259.0,13499.0,2005,7,Araba/Álava,Menos_de_24h,3,POINT (-2.914503 42.722471),0
29041,2005010028,8.05,2005-08-05,42.897945,-2.506389,1,1,1,13,BARRUNDIA,5,,0,,,265,340,34,7,12008.0,57147.0,2005,8,Araba/Álava,Menos_de_24h,3,POINT (-2.506389 42.897945),0
29042,2005010029,3.8,2005-08-06,42.933449,-2.605374,1,1,1,8,ARRAZUA-UBARRUNDIA,5,,0,,,170,315,34,6,6059.0,76360.0,2005,8,Araba/Álava,Menos_de_24h,3,POINT (-2.605374 42.933449),0
29044,2005010034,7.82,2005-08-04,42.574812,-2.484368,1,1,1,60,IECORA/YÉCORA,5,,0,,,84,114,66,10,2022.0,3520.0,2005,8,Araba/Álava,Menos_de_24h,3,POINT (-2.484368 42.574812),0
29046,2005010039,2.88,2005-09-30,42.532243,-2.488578,1,1,1,32,LANTZIEGO/LANCIEGO,5,,0,,,195,300,6,1,1094.0,438.0,2005,9,Araba/Álava,Menos_de_24h,3,POINT (-2.488578 42.532243),0
51408,2009010018,23.36,2009-07-22,42.8746,-2.509917,1,1,1,13,BARRUNDIA,5,,0,,,180,360,41,9,9476.0,58065.0,2009,7,Araba/Álava,Menos_de_24h,3,POINT (-2.509917 42.8746),0
51410,2009010020,19.5,2009-07-22,42.926047,-2.613203,1,1,1,8,ARRAZUA-UBARRUNDIA,5,,0,,,305,1775,30,7,10208.0,105143.0,2009,7,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-2.613203 42.926047),0
51414,2009010033,1.7,2009-08-14,42.864863,-2.394505,1,1,1,51,AGURAIN/SALVATIERRA,5,,0,,,65,110,18,7,1555.0,400.0,2009,8,Araba/Álava,Menos_de_24h,3,POINT (-2.394505 42.864863),0
61096,2011010038,3.05,2011-09-29,42.54575,-2.571543,1,1,1,31,LAGUARDIA,5,,0,,,75,225,12,3,1783.0,654.0,2011,9,Araba/Álava,Menos_de_24h,3,POINT (-2.571543 42.54575),0
66695,2012010028,49.54,2012-07-18,42.913586,-3.159111,1,1,1,55,VALDEGOVIA,5,,0,,,768,7248,56,14,63508.0,127746.0,2012,7,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-3.159111 42.913586),0
78515,2015010001,1.2,2015-04-02,43.15879893,-2.96254527,1,1,1,36,LLODIO/LAUDIO,5,,0,,,389,1470,9,2,,,2015,4,Araba/Álava,Entre_1dia_y_1semana,2,POINT (-2.96254527 43.15879893),0
34,2001020039,15.0,2001-07-31,39.067155,-1.556034,1,11,2,21,CASAS DE JUAN NÚÑEZ,5,,0,,,130,1420,40,7,,4174.0,2001,7,Albacete,Menos_de_24h,3,POINT (-1.556034 39.067155),1
6967,2002020058,3.0,2002-06-28,39.160602,-1.570537,1,11,2,41,JORQUERA,5,,0,,,90,210,25,3,550.0,0.0,2002,6,Albacete,Menos_de_24h,2,POINT (-1.570537 39.160602),1
6974,2002020073,1.2,2002-07-22,38.773105,-2.548498,1,11,2,70,SALOBRE,5,,0,,,32,120,38,4,350.0,0.0,2002,7,Albacete,Menos_de_24h,3,POINT (-2.548498 38.773105),1
7214,2002060237,7.0,2002-07-14,39.237871,-1.207393,1,14,6,37,"CODOSERA, LA",5,,0,,,120,195,32,2,,1200.0,2002,7,Badajoz,Menos_de_24h,3,POINT (-1.207393 39.237871),1
14770,2003020040,2.0,2003-06-19,38.718989,-2.319504,1,11,2,47,MASEGOSO,5,,0,,,65,165,9,2,269.0,2246.0,2003,6,Albacete,Menos_de_24h,2,POINT (-2.319504 38.718989),1
14782,2003020077,250.0,2003-07-22,39.01526,-1.519945,1,11,2,40,HOYA-GONZALO,5,,0,,,1035,1710,64,11,15986.0,0.0,2003,7,Albacete,Entre_1dia_y_1semana,3,POINT (-1.519945 39.01526),1
21400,2004020049,1.0,2004-07-10,39.13599,-2.472867,1,11,2,53,MUNERA,5,,0,,,114,415,33,12,2021.0,0.0,2004,7,Albacete,Menos_de_24h,3,POINT (-2.472867 39.13599),1
21413,2004020086,1.19,2004-08-21,38.25523,-2.266888,1,11,2,55,NERPIO,5,,0,,,45,240,23,5,1336.0,0.0,2004,8,Albacete,Menos_de_24h,3,POINT (-2.266888 38.25523),1
21415,2004020090,1.5,2004-08-31,38.793679,-2.168008,1,11,2,71,SAN PEDRO,5,,0,,,36,186,21,2,447.0,2086.0,2004,8,Albacete,Menos_de_24h,3,POINT (-2.168008 38.793679),1
29065,2005020048,1.0,2005-04-01,38.57104,-2.613453,1,11,2,80,VILLAPALACIOS,5,,0,,,150,270,6,1,300.0,,2005,4,Albacete,Menos_de_24h,2,POINT (-2.613453 38.57104),1
29078,2005020086,1.0,2005-05-27,38.494411,-2.41016,1,11,2,67,RIÓPAR,5,,0,,,200,380,38,5,2700.0,,2005,5,Albacete,Menos_de_24h,2,POINT (-2.41016 38.494411),1
43641,2007020008,1.0,2007-02-27,39.195829,-1.435569,1,11,2,7,ALCALÁ DEL JUCAR,5,,0,,,55,90,9,1,,,2007,2,Albacete,Menos_de_24h,1,POINT (-1.435569 39.195829),1
43642,2007020021,1.0,2007-06-04,39.034108,-1.502118,1,11,2,64,POZO-LORENTE,5,,0,,,86,296,26,5,,,2007,6,Albacete,Menos_de_24h,2,POINT (-1.502118 39.034108),1
61102,2011020023,4.3,2011-04-08,39.178393,-1.510418,1,11,2,41,JORQUERA,5,,0,,,141,1291,19,3,,,2011,4,Albacete,Menos_de_24h,2,POINT (-1.510418 39.178393),1
61104,2011020051,38.0,2011-06-15,38.966543,-1.621747,1,11,2,40,HOYA-GONZALO,5,,0,,,187,187,25,0,,,2011,6,Albacete,Menos_de_24h,2,POINT (-1.621747 38.966543),1
61106,2011020073,1.3,2011-06-15,39.00971,-1.542143,1,11,2,39,HIGUERUELA,5,,0,,,72,87,8,0,,,2011,6,Albacete,Menos_de_24h,2,POINT (-1.542143 39.00971),1
61117,2011020209,1.5,2011-08-25,38.447785,-1.54943,1,11,2,37,HELLÍN,5,,0,,,58,1033,48,8,,,2011,8,Albacete,Menos_de_24h,3,POINT (-1.54943 38.447785),1
72236,2013020146,3.65,2013-06-26,38.968741,-1.631654,1,11,2,40,HOYA-GONZALO,5,,0,,,75,204,14,5,,,2013,6,Albacete,Menos_de_24h,2,POINT (-1.631654 38.968741),1
72237,2013020165,17.9,2013-07-02,38.967321,-1.630435,1,11,2,40,HOYA-GONZALO,5,,0,,,113,320,33,5,,,2013,7,Albacete,Menos_de_24h,3,POINT (-1.630435 38.967321),1
75322,2014020017,4.27,2014-02-01,38.56045168,-1.6306512,1,11,2,74,TOBARRA,5,,0,,,105,135,6,1,,,2014,2,Albacete,Menos_de_24h,1,POINT (-1.6306512 38.56045168),1
75326,2014020082,1.0,2014-04-17,39.01664059,-1.54367547,1,11,2,39,HIGUERUELA,5,,0,,,73,88,12,1,,,2014,4,Albacete,Menos_de_24h,2,POINT (-1.54367547 39.01664059),1
75327,2014020112,1.2,2014-05-02,38.58328612,-1.66966526,1,11,2,74,TOBARRA,5,,0,,,70,135,13,2,,,2014,5,Albacete,Menos_de_24h,2,POINT (-1.66966526 38.58328612),1
75333,2014020311,269.51,2014-09-13,38.75884927,-1.10795155,1,11,2,9,ALMANSA,5,,0,1.0,,1587,4736,335,66,,,2014,9,Albacete,Entre_1dia_y_1semana,3,POINT (-1.10795155 38.75884927),1
81,2001040001,4.73,2001-01-04,37.312787,-2.104109,1,4,4,17,ARBOLEAS,5,,0,,,235,320,15,0,,,2001,1,Almería,Menos_de_24h,,POINT (-2.104109 37.312787),3
103,2001040089,1.25,2001-08-25,37.310136,-1.758679,1,4,4,35,CUEVAS DEL ALMANZORA,5,,0,,,240,300,22,2,150.0,0.0,2001,8,Almería,Menos_de_24h,3,POINT (-1.758679 37.310136),3
105,2001040093,48.4,2001-09-02,36.999235,-2.325672,1,4,4,66,NÍJAR,5,,0,,,250,430,106,7,5050.0,0.0,2001,9,Almería,Menos_de_24h,3,POINT (-2.325672 36.999235),3
7036,2002040099,2.15,2002-10-08,36.869947,-2.657794,1,4,4,41,ENIX,5,,0,,,217,330,18,1,68.0,26.0,2002,10,Almería,Menos_de_24h,4,POINT (-2.657794 36.869947),3
14830,2003040027,4.62,2003-06-09,36.908668,-1.976244,1,4,4,66,NÍJAR,5,,0,,,88,294,24,2,766.0,60.0,2003,6,Almería,Menos_de_24h,2,POINT (-1.976244 36.908668),3
14839,2003040065,23.4,2003-07-11,36.994637,-2.705481,1,4,4,77,RÁGOL,5,,0,,,190,460,158,15,7601.0,799.0,2003,7,Almería,Menos_de_24h,3,POINT (-2.705481 36.994637),3
14842,2003040082,20.44,2003-07-30,36.959353,-2.090138,1,4,4,66,NÍJAR,5,,0,,,110,195,25,5,1959.0,245.0,2003,7,Almería,Menos_de_24h,3,POINT (-2.090138 36.959353),3
21455,2004040027,1.09,2004-06-17,37.044382,-2.242598,1,4,4,94,TURRILLAS,5,,0,,,92,362,41,4,,,2004,6,Almería,Menos_de_24h,2,POINT (-2.242598 37.044382),3
21458,2004040034,1.88,2004-06-24,37.306759,-2.225666,1,4,4,16,ANTAS,5,,0,,,75,105,27,3,621.0,40.0,2004,6,Almería,Menos_de_24h,2,POINT (-2.225666 37.306759),3
21463,2004040061,1.08,2004-07-17,37.158666,-2.038111,1,4,4,22,BÉDAR,5,,0,,,34,505,37,3,1504.0,18.0,2004,7,Almería,Menos_de_24h,3,POINT (-2.038111 37.158666),3
21474,2004040130,1.41,2004-11-29,36.961997,-2.025741,1,4,4,66,NÍJAR,5,,0,,,105,150,23,2,,,2004,11,Almería,Menos_de_24h,4,POINT (-2.025741 36.961997),3
21475,2004040131,2.0,2004-12-08,36.802796,-3.089681,1,4,4,3,ADRA,5,,0,,,180,270,21,2,,,2004,12,Almería,Menos_de_24h,4,POINT (-3.089681 36.802796),3
29127,2005040023,2.14,2005-04-15,36.995874,-2.640654,1,4,4,54,ILLAR,5,,0,,,120,270,17,3,2113.0,32.0,2005,4,Almería,Menos_de_24h,2,POINT (-2.640654 36.995874),3
29130,2005040029,1.52,2005-05-06,37.564896,-1.998898,1,4,4,99,VÉLEZ-RUBIO,5,,0,,,65,207,16,2,3843.0,,2005,5,Almería,Menos_de_24h,2,POINT (-1.998898 37.564896),3
29133,2005040034,4.08,2005-05-12,37.743186,-2.103328,1,4,4,59,LUBRÍN,5,,0,,,30,315,11,2,2556.0,60.0,2005,5,Almería,Menos_de_24h,2,POINT (-2.103328 37.743186),3
29136,2005040039,30.78,2005-05-16,37.085016,-2.133114,1,4,4,60,LUCAINENA DE LAS TORRES,5,,0,,,255,450,63,3,12133.0,462.0,2005,5,Almería,Menos_de_24h,2,POINT (-2.133114 37.085016),3
29142,2005040056,3.7,2005-06-21,37.314931,-2.053018,1,4,4,103,ZURGENA,5,,0,,,105,253,31,3,4817.0,56.0,2005,6,Almería,Menos_de_24h,2,POINT (-2.053018 37.314931),3
29145,2005040061,1.31,2005-07-01,37.086735,-2.260472,1,4,4,88,TABERNAS,5,,0,,,15,155,9,2,1036.0,20.0,2005,7,Almería,Menos_de_24h,3,POINT (-2.260472 37.086735),3
29158,2005040085,1.27,2005-08-13,36.844981,-2.040911,1,4,4,66,NÍJAR,5,,0,,,60,120,7,2,157.0,19.0,2005,8,Almería,Menos_de_24h,3,POINT (-2.040911 36.844981),3
29164,2005040117,2.0,2005-11-11,36.842519,-2.973912,1,4,4,29,BERJA,5,,0,,,120,305,5,0,342.0,56.0,2005,11,Almería,Menos_de_24h,4,POINT (-2.973912 36.842519),3
29165,2005040123,2.0,2005-12-05,37.106898,-2.539907,1,4,4,50,GÉRGAL,5,,0,,,240,359,15,2,1222.0,30.0,2005,12,Almería,Menos_de_24h,4,POINT (-2.539907 37.106898),3
38105,2006040079,10.0,2006-10-23,36.961325,-2.028367,1,4,4,66,NÍJAR,5,,0,,,300,300,22,3,,,2006,10,Almería,Menos_de_24h,4,POINT (-2.028367 36.961325),3
43676,2007040002,6.44,2007-02-13,36.95028,-2.319657,1,4,4,13,ALMERÍA,5,,0,,,240,360,28,1,,,2007,2,Almería,Menos_de_24h,1,POINT (-2.319657 36.95028),3
43677,2007040004,7.09,2007-02-18,36.849262,-2.74089,1,4,4,38,DALÍAS,5,,0,,,421,600,45,3,,,2007,2,Almería,Menos_de_24h,1,POINT (-2.74089 36.849262),3
43680,2007040017,2.37,2007-03-21,36.954279,-2.941559,1,4,4,7,ALCOLEA,5,,0,,,145,340,49,3,,,2007,3,Almería,Menos_de_24h,1,POINT (-2.941559 36.954279),3
43704,2007040076,40.07,2007-08-14,37.336925,-2.464588,1,4,4,21,BAYARQUE,5,,0,,3.0,291,691,158,15,,,2007,8,Almería,Menos_de_24h,3,POINT (-2.464588 37.336925),3
43706,2007040080,5.0,2007-08-27,36.784775,-3.078452,1,4,4,3,ADRA,5,,0,,,149,889,63,8,,,2007,8,Almería,Menos_de_24h,3,POINT (-3.078452 36.784775),3
43709,2007040098,1.0,2007-10-04,36.989799,-2.737324,1,4,4,30,CANJÁYAR,5,,0,,,71,101,20,1,,,2007,10,Almería,Menos_de_24h,4,POINT (-2.737324 36.989799),3
47091,2008040057,2.5,2008-07-12,37.20519,-2.089922,1,4,4,59,LUBRÍN,5,,0,,,46,184,36,6,,,2008,7,Almería,Menos_de_24h,3,POINT (-2.089922 37.20519),3
47093,2008040069,5.15,2008-08-08,37.093908,-2.099761,1,4,4,86,SORBAS,5,,0,,,70,250,36,6,,,2008,8,Almería,Menos_de_24h,3,POINT (-2.099761 37.093908),3
47096,2008040074,5.64,2008-08-22,37.066807,-2.141757,1,4,4,86,SORBAS,5,,0,,,123,238,39,6,,,2008,8,Almería,Menos_de_24h,3,POINT (-2.141757 37.066807),3
47099,2008040083,3.07,2008-11-24,37.205579,-1.81943,1,4,4,100,VERA,5,,0,,,150,301,9,2,,,2008,11,Almería,Menos_de_24h,4,POINT (-1.81943 37.205579),3
51463,2009040013,1.61,2009-05-17,37.14608,-2.036661,1,4,4,86,SORBAS,5,,0,,,111,1669,47,6,,,2009,5,Almería,Entre_1dia_y_1semana,2,POINT (-2.036661 37.14608),3
51466,2009040031,63.97,2009-06-16,37.2012,-2.235681,1,4,4,27,BENIZALÓN,5,,0,,,265,863,110,11,,,2009,6,Almería,Menos_de_24h,2,POINT (-2.235681 37.2012),3
51467,2009040032,40.24,2009-06-16,37.070315,-2.60147,1,4,4,5,ALBOLODUY,5,,0,,,217,1147,71,15,,,2009,6,Almería,Menos_de_24h,2,POINT (-2.60147 37.070315),3
51486,2009040065,2329.07,2009-07-23,37.113258,-1.902588,1,4,4,93,TURRE,5,,0,0.0,0.0,2346,56074,572,46,,,2009,7,Almería,Mas_de_1mes,3,POINT (-1.902588 37.113258),3
51488,2009040067,29.89,2009-07-24,37.011437,-2.778739,1,4,4,23,BEIRES,5,,0,,,97,1627,78,9,,,2009,7,Almería,Entre_1dia_y_1semana,3,POINT (-2.778739 37.011437),3
51492,2009040081,46.53,2009-08-14,37.20376,-2.472145,1,4,4,33,CASTRO DE FILABRES,5,,0,,,335,5435,193,25,,,2009,8,Almería,Entre_1dia_y_1semana,3,POINT (-2.472145 37.20376),3
57222,2010040008,13.4,2010-05-17,36.970534,-2.086994,1,4,4,66,NÍJAR,5,,0,,,112,140,18,6,,,2010,5,Almería,Menos_de_24h,2,POINT (-2.086994 36.970534),3
57223,2010040010,2.0,2010-05-22,37.370985,-1.696693,1,4,4,75,PULPÍ,5,,0,,,104,221,12,1,,,2010,5,Almería,Menos_de_24h,2,POINT (-1.696693 37.370985),3
57231,2010040024,8.67,2010-06-24,36.922912,-2.164132,1,4,4,66,NÍJAR,5,,0,,,65,90,11,2,,,2010,6,Almería,Menos_de_24h,2,POINT (-2.164132 36.922912),3
57232,2010040025,7.39,2010-06-25,36.961089,-2.135385,1,4,4,66,NÍJAR,5,,0,,,81,156,11,2,,,2010,6,Almería,Menos_de_24h,2,POINT (-2.135385 36.961089),3
57235,2010040040,9.5,2010-07-05,37.348138,-2.351084,1,4,4,76,PURCHENA,5,,0,,,183,393,126,11,,,2010,7,Almería,Menos_de_24h,3,POINT (-2.351084 37.348138),3
57243,2010040061,2.81,2010-08-01,37.432234,-2.386224,1,4,4,76,PURCHENA,5,,0,,,120,2520,57,9,,,2010,8,Almería,Entre_1dia_y_1semana,3,POINT (-2.386224 37.432234),3
57247,2010040078,5.43,2010-08-27,37.286767,-2.25105,1,4,4,58,LÍJAR,5,,0,,,190,2856,55,8,,,2010,8,Almería,Entre_1dia_y_1semana,3,POINT (-2.25105 37.286767),3
57252,2010040100,3.0,2010-10-16,36.849315,-2.122356,1,4,4,66,NÍJAR,5,,0,,,83,95,5,2,,,2010,10,Almería,Menos_de_24h,4,POINT (-2.122356 36.849315),3
61157,2011040033,1.12,2011-05-21,36.896825,-2.275384,1,4,4,13,ALMERÍA,5,,0,,,75,1615,11,2,,,2011,5,Almería,Entre_1dia_y_1semana,2,POINT (-2.275384 36.896825),3
61159,2011040047,1.83,2011-06-12,37.059475,-2.420868,1,4,4,88,TABERNAS,5,,0,,,125,220,5,2,,,2011,6,Almería,Menos_de_24h,2,POINT (-2.420868 37.059475),3
61169,2011040106,5.73,2011-08-18,36.939979,-2.15568,1,4,4,66,NÍJAR,5,,0,,,96,245,3,1,,,2011,8,Almería,Menos_de_24h,3,POINT (-2.15568 36.939979),3
61170,2011040107,10.5,2011-08-20,36.821167,-2.679562,1,4,4,102,VÍCAR,5,,0,,,311,1151,75,6,,,2011,8,Almería,Menos_de_24h,3,POINT (-2.679562 36.821167),3
61176,2011040154,15.54,2011-10-09,36.764182,-3.019462,1,4,4,3,ADRA,5,,0,,,145,1350,78,5,,,2011,10,Almería,Menos_de_24h,4,POINT (-3.019462 36.764182),3
66759,2012040037,1.44,2012-03-14,36.83511,-2.403263,1,4,4,13,ALMERÍA,5,,0,,,122,947,20,1,,,2012,3,Almería,Menos_de_24h,1,POINT (-2.403263 36.83511),3
66761,2012040058,1.48,2012-04-21,36.828083,-2.630675,1,4,4,102,VÍCAR,5,,0,,,235,295,28,2,,,2012,4,Almería,Menos_de_24h,2,POINT (-2.630675 36.828083),3
72279,2013040064,7.6,2013-06-24,36.729992,-2.650845,1,4,4,79,ROQUETAS DE MAR,5,,0,,,682,2342,71,8,,,2013,6,Almería,Entre_1dia_y_1semana,2,POINT (-2.650845 36.729992),3
78550,2015040049,2.3,2015-07-15,36.92994423,-2.82583196,1,4,4,46,FONDÓN,5,,0,,,641,747,24,2,,,2015,7,Almería,Menos_de_24h,3,POINT (-2.82583196 36.92994423),3
189,2001060002,1.5,2001-07-08,38.873265,-6.686311,1,14,6,15,BADAJOZ,5,,0,,,85,100,6,0,,,2001,7,Badajoz,Menos_de_24h,3,POINT (-6.686311 38.873265),5
194,2001060020,4.5,2001-06-29,38.921914,-6.272009,1,14,6,83,MÉRIDA,5,,0,,,75,90,7,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-6.272009 38.921914),5
203,2001060033,2.0,2001-06-15,38.939801,-6.424752,1,14,6,46,ESPARRAGALEJO,5,,0,,,170,185,15,3,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-6.424752 38.939801),5
206,2001060037,1.5,2001-06-11,39.010202,-5.673253,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,165,195,9,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.673253 39.010202),5
209,2001060042,1.0,2001-07-07,38.886422,-6.95214,1,14,6,15,BADAJOZ,5,,0,,,15,30,1,0,,,2001,7,Badajoz,Menos_de_24h,3,POINT (-6.95214 38.886422),5
210,2001060043,9.0,2001-06-29,39.245986,-5.071791,1,14,6,63,HERRERA DEL DUQUE,5,,0,,,40,80,27,5,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.071791 39.245986),5
211,2001060044,1.0,2001-06-28,38.223273,-6.320502,1,14,6,52,FUENTE DE CANTOS,5,,0,,,55,75,12,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-6.320502 38.223273),5
214,2001060048,90.0,2001-07-02,38.893114,-6.905796,1,14,6,15,BADAJOZ,5,,0,,,165,205,34,2,,,2001,7,Badajoz,Menos_de_24h,3,POINT (-6.905796 38.893114),5
217,2001060053,10.0,2001-06-27,38.756323,-5.817104,1,14,6,146,VALLE DE LA SERENA,5,,0,,,0,80,9,2,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.817104 38.756323),5
218,2001060055,120.0,2001-06-29,38.504151,-6.382963,1,14,6,54,FUENTE DEL MAESTRE,5,,0,,,115,160,28,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-6.382963 38.504151),5
219,2001060056,3.0,2001-06-24,38.989277,-5.795627,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,75,85,10,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.795627 38.989277),5
220,2001060059,5.0,2001-06-30,39.061532,-5.690673,1,14,6,44,DON BENITO,5,,0,,,0,77,6,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.690673 39.061532),5
223,2001060063,4.0,2001-06-27,38.892292,-6.970453,1,14,6,15,BADAJOZ,5,,0,,,85,85,6,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-6.970453 38.892292),5
225,2001060068,2.0,2001-06-23,38.258906,-5.874404,1,14,6,3,AHILLONES,5,,0,,,0,35,11,1,,,2001,6,Badajoz,Menos_de_24h,2,POINT (-5.874404 38.258906),5
