,id,superficie,fecha,lat,lng,latlng_explicit,idcomunidad,idprovincia,idmunicipio,municipio,causa,causa_supuesta,causa_desc,muertos,heridos,time_ctrl,time_ext,personal,medios,gastos,perdidas,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right
38216,2006060125,3.0,2006-07-25,38.887159,-5.974482,1,14,6,44,DON BENITO,5,,0,,,60,105,13,4,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-5.974482 38.887159),5
38219,2006060130,3.5,2006-07-27,38.310313,-6.727111,1,14,6,70,JEREZ DE LOS CABALLEROS,5,,0,,1.0,80,160,23,3,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-6.727111 38.310313),5
38220,2006060134,99.19,2006-07-28,38.343058,-7.209579,1,14,6,154,VILLANUEVA DEL FRESNO,5,,0,,,150,325,70,17,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-7.209579 38.343058),5
38221,2006060140,2.0,2006-07-31,38.5126,-6.444822,1,14,6,54,FUENTE DEL MAESTRE,5,,0,,,65,75,2,0,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-6.444822 38.5126),5
38223,2006060145,30.0,2006-08-03,38.675971,-6.613704,1,14,6,121,SANTA MARTA,5,,0,,,150,165,14,1,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.613704 38.675971),5
38229,2006060161,10.0,2006-08-11,38.301274,-6.517764,1,14,6,141,VALENCIA DEL VENTOSO,5,,0,,,140,230,23,2,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.517764 38.301274),5
38230,2006060164,1.0,2006-08-12,39.020532,-5.733628,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,75,85,8,2,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-5.733628 39.020532),5
38234,2006060172,6.0,2006-08-30,39.247929,-4.755712,1,14,6,157,VILLARTA DE LOS MONTES,5,,0,,,90,120,14,2,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-4.755712 39.247929),5
38238,2006060178,1.5,2006-09-13,38.883765,-6.206383,1,14,6,151,VILLAGONZALO,5,,0,,,85,170,17,2,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-6.206383 38.883765),5
38239,2006060183,2.5,2006-08-15,38.367878,-6.779023,1,14,6,148,VALLE DE SANTA ANA,5,,0,,,110,405,30,3,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.779023 38.367878),5
38241,2006060185,71.0,2006-07-21,38.837386,-6.961335,1,14,6,15,BADAJOZ,5,,0,,,570,1420,84,19,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-6.961335 38.837386),5
38249,2006060202,2.0,2006-08-17,38.528013,-6.581196,1,14,6,99,"PARRA, LA",5,,0,,,75,130,11,0,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.581196 38.528013),5
38251,2006060205,4.0,2006-08-24,39.023668,-6.422623,1,14,6,83,MÉRIDA,5,,0,,,95,145,20,3,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.422623 39.023668),5
38263,2006060227,1.5,2006-08-15,39.022449,-6.026008,1,14,6,120,SANTA AMALIA,5,,0,,,75,180,9,2,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.026008 39.022449),5
38268,2006069028,6.0,2006-09-07,38.558706,-6.77907,1,14,6,116,SALVALEÓN,5,,0,,,0,195,9,1,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-6.77907 38.558706),5
38276,2006069061,5.0,2006-07-13,39.018488,-5.731667,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,0,190,9,1,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-5.731667 39.018488),5
38278,2006069063,1.5,2006-07-14,38.999444,-5.747328,1,14,6,153,VILLANUEVA DE LA SERENA,5,,0,,,0,60,8,1,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-5.747328 38.999444),5
38283,2006069072,10.0,2006-07-21,38.932384,-6.899438,1,14,6,15,BADAJOZ,5,,0,,,0,120,30,3,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-6.899438 38.932384),5
38284,2006069073,1.0,2006-07-21,38.910854,-6.745207,1,14,6,15,BADAJOZ,5,,0,,,0,35,6,1,,,2006,7,Badajoz,Menos_de_24h,3,POINT (-6.745207 38.910854),5
38288,2006069084,1.25,2006-08-03,38.99132,-6.900975,1,14,6,15,BADAJOZ,5,,0,,,0,105,8,1,,,2006,8,Badajoz,Menos_de_24h,3,POINT (-6.900975 38.99132),5
38296,2006069112,1.0,2006-09-08,38.878043,-6.458174,1,14,6,12,ARROYO DE SAN SERVÁN,5,,0,,,130,155,4,0,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-6.458174 38.878043),5
38302,2006069128,5.0,2006-09-20,39.349094,-4.750919,1,14,6,62,HELECHOSA DE LOS MONTES,5,,0,,,165,510,37,6,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-4.750919 39.349094),5
38304,2006069132,1.0,2006-09-26,39.063131,-6.077952,1,14,6,44,DON BENITO,5,,0,,,90,105,6,0,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-6.077952 39.063131),5
38308,2006069144,1.0,2006-10-05,39.140256,-5.31896,1,14,6,127,TALARRUBIAS,5,,0,,,30,40,3,1,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-5.31896 39.140256),5
38309,2006069145,3.0,2006-10-07,39.079421,-5.597912,1,14,6,1,ACEDERA,5,,0,,,25,30,9,1,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-5.597912 39.079421),5
38310,2006069146,1.0,2006-10-08,38.340876,-6.169592,1,14,6,136,USAGRE,5,,0,,,120,135,9,1,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-6.169592 38.340876),5
38311,2006069149,6.0,2006-10-12,39.162618,-5.035038,1,14,6,63,HERRERA DEL DUQUE,5,,0,,,105,165,46,11,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-5.035038 39.162618),5
38315,2006069159,4.53,2006-10-14,38.565012,-6.50621,1,14,6,49,FERIA,5,,0,,,120,145,13,1,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-6.50621 38.565012),5
38317,2006069161,33.0,2006-09-15,38.936989,-6.398737,1,14,6,83,MÉRIDA,5,,0,,,115,265,24,4,,,2006,9,Badajoz,Menos_de_24h,3,POINT (-6.398737 38.936989),5
38320,2006069167,1.0,2006-10-15,39.073751,-6.750664,1,14,6,15,BADAJOZ,5,,0,,,65,70,1,0,,,2006,10,Badajoz,Menos_de_24h,4,POINT (-6.750664 39.073751),5
43744,2007060025,1.0,2007-06-11,39.038992,-5.897683,1,14,6,44,DON BENITO,5,,0,,,45,60,7,2,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-5.897683 39.038992),5
43749,2007060034,1.5,2007-06-28,38.973285,-5.986082,1,14,6,80,MEDELLÍN,5,,0,,,45,95,3,0,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-5.986082 38.973285),5
43750,2007060036,1.2,2007-06-29,39.106961,-5.464057,1,14,6,91,NAVALVILLAR DE PELA,5,,0,,,30,45,10,2,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-5.464057 39.106961),5
43752,2007060038,3.0,2007-06-29,38.847942,-6.98129,1,14,6,15,BADAJOZ,5,,0,,,55,225,5,2,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-6.98129 38.847942),5
43756,2007060043,1.0,2007-07-01,39.056251,-5.679415,1,14,6,44,DON BENITO,5,,0,,,175,235,7,1,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-5.679415 39.056251),5
43758,2007060046,2.0,2007-07-04,38.848191,-6.949585,1,14,6,15,BADAJOZ,5,,0,,,280,339,37,5,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-6.949585 38.848191),5
43763,2007060057,3.0,2007-07-09,38.989447,-6.295586,1,14,6,84,MIRANDILLA,5,,0,,,175,190,6,1,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-6.295586 38.989447),5
43769,2007060071,4.0,2007-07-05,38.468934,-7.233749,1,14,6,7,ALCONCHEL,5,,0,,,80,160,29,3,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-7.233749 38.468934),5
43789,2007060098,2.0,2007-07-23,38.676283,-6.534937,1,14,6,2,ACEUCHAL,5,,0,,,80,85,7,1,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-6.534937 38.676283),5
43797,2007060118,5.0,2007-08-01,38.862464,-6.959893,1,14,6,15,BADAJOZ,5,,0,,,65,105,10,1,,,2007,8,Badajoz,Menos_de_24h,3,POINT (-6.959893 38.862464),5
43800,2007060121,1.0,2007-08-03,38.92996,-6.90695,1,14,6,15,BADAJOZ,5,,0,,,115,129,13,1,,,2007,8,Badajoz,Menos_de_24h,3,POINT (-6.90695 38.92996),5
43804,2007060128,4.8,2007-08-07,38.693741,-6.652501,1,14,6,121,SANTA MARTA,5,,0,,,95,105,7,1,,,2007,8,Badajoz,Menos_de_24h,3,POINT (-6.652501 38.693741),5
43823,2007060166,12.0,2007-07-20,38.974558,-6.324269,1,14,6,83,MÉRIDA,5,,0,,,75,225,25,5,,,2007,7,Badajoz,Menos_de_24h,3,POINT (-6.324269 38.974558),5
43834,2007060183,4.5,2007-06-30,38.85533,-6.662084,1,14,6,72,LOBÓN,5,,0,,,275,280,23,3,,,2007,6,Badajoz,Menos_de_24h,2,POINT (-6.662084 38.85533),5
43837,2007060190,2.0,2007-09-07,38.638511,-5.536325,1,14,6,18,BENQUERENCIA DE LA SERENA,5,,0,,,140,400,21,4,,,2007,9,Badajoz,Menos_de_24h,3,POINT (-5.536325 38.638511),5
43838,2007060191,2.5,2007-09-15,38.320213,-7.045863,1,14,6,154,VILLANUEVA DEL FRESNO,5,,0,,,30,45,5,0,,,2007,9,Badajoz,Menos_de_24h,3,POINT (-7.045863 38.320213),5
