,id,superficie,fecha,lat,lng,idcomunidad,idprovincia,idmunicipio,municipio,causa,time_ctrl,time_ext,year,month,Provincias,class_per_time,class_per_trimester,geometry,index_right,Y,recursos
0,2001010001,3.7,2001-03-18,42.954656,-2.325719,1,1,13,BARRUNDIA,4,150,180,2001,3,Araba/Álava,Menos_de_24h,1,POINT (-2.325719 42.954656),19,1,12
31108,2005200004,6.0,2005-03-16,43.293391,-1.822803,1,20,63,OIARTZUN,4,240,450,2005,3,Gipuzkoa,Menos_de_24h,1,POINT (-1.822803 43.293391),19,1,28
31111,2005200012,2.5,2005-03-31,43.274343,-2.225571,1,20,81,ZUMAIA,2,80,240,2005,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.225571 43.274343),19,0,17
31113,2005200015,2.23,2005-04-06,43.165843,-2.419785,1,20,74,BERGARA,2,287,452,2005,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.419785 43.165843),19,0,13
31114,2005200016,2.5,2005-04-06,43.024355,-2.291328,1,20,57,MUTILOA,2,91,333,2005,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.291328 43.024355),19,0,14
31116,2005200019,1.0,2005-05-26,43.055587,-2.082643,1,20,8,AMEZKETA,3,47,65,2005,5,Gipuzkoa,Menos_de_24h,2,POINT (-2.082643 43.055587),19,0,10
31120,2005200030,1.0,2005-06-05,43.166333,-2.075366,1,20,10,ANOETA,2,140,200,2005,6,Gipuzkoa,Menos_de_24h,2,POINT (-2.075366 43.166333),19,0,18
31122,2005200035,25.0,2005-07-29,42.998212,-2.110549,1,20,78,ZALDIBIA,4,720,2190,2005,7,Gipuzkoa,Entre_1dia_y_1semana,3,POINT (-2.110549 42.998212),19,1,66
31123,2005200037,1.0,2005-08-06,43.279842,-2.056074,1,20,73,USURBIL,4,195,300,2005,8,Gipuzkoa,Menos_de_24h,3,POINT (-2.056074 43.279842),19,1,26
31127,2005200043,6.3,2005-10-27,43.279738,-2.292413,1,20,29,DEBA,3,360,450,2005,10,Gipuzkoa,Menos_de_24h,4,POINT (-2.292413 43.279738),19,0,6
39768,2006200024,7.85,2006-11-15,43.220183,-2.23538,1,20,27,ZESTOA,2,225,585,2006,11,Gipuzkoa,Menos_de_24h,4,POINT (-2.23538 43.220183),19,0,43
44463,2007200005,2.2,2007-02-16,43.107398,-2.394701,1,20,11,ANTZUOLA,3,163,308,2007,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.394701 43.107398),19,0,18
44464,2007200008,1.0,2007-03-13,43.299492,-2.359277,1,20,56,MUTRIKU,2,93,234,2007,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.359277 43.299492),19,0,10
44465,2007200012,4.0,2007-05-10,43.012419,-2.443774,1,20,59,OÑATI,2,265,415,2007,5,Gipuzkoa,Menos_de_24h,2,POINT (-2.443774 43.012419),19,0,16
47889,2008200001,1.3,2008-01-15,43.256351,-2.112566,1,20,16,AIA,3,90,120,2008,1,Gipuzkoa,Menos_de_24h,,POINT (-2.112566 43.256351),19,0,20
47891,2008200008,1.0,2008-02-14,43.316192,-1.870223,1,20,63,OIARTZUN,2,45,60,2008,2,Gipuzkoa,Menos_de_24h,1,POINT (-1.870223 43.316192),19,0,8
47896,2008200018,1.0,2008-04-26,43.228353,-2.381708,1,20,32,ELGOIBAR,2,90,120,2008,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.381708 43.228353),19,0,8
52449,2009200003,1.0,2009-02-28,42.99706,-2.471049,1,20,59,OÑATI,2,31,61,2009,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.471049 42.99706),19,0,4
52450,2009200004,1.15,2009-03-20,43.190369,-2.487043,1,20,30,EIBAR,2,115,220,2009,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.487043 43.190369),19,0,10
52453,2009200009,3.0,2009-03-22,42.962681,-2.151327,1,20,15,ATAUN,4,150,180,2009,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.151327 42.962681),19,1,7
52456,2009200013,1.0,2009-05-16,43.256605,-2.003494,1,20,902,LASARTE-ORIA,2,120,130,2009,5,Gipuzkoa,Menos_de_24h,2,POINT (-2.003494 43.256605),19,0,5
57924,2010200007,4.5,2010-02-27,43.119762,-2.074433,1,20,71,TOLOSA,3,470,485,2010,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.074433 43.119762),19,0,32
57926,2010200009,2.3,2010-02-28,43.141188,-2.268915,1,20,18,AZPEITIA,3,177,312,2010,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.268915 43.141188),19,0,18
57927,2010200012,1.03,2010-02-28,43.29527,-2.311403,1,20,29,DEBA,4,97,195,2010,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.311403 43.29527),19,1,9
57935,2010200028,1.0,2010-04-14,43.020161,-2.303452,1,20,26,ZERAIN,2,70,165,2010,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.303452 43.020161),19,0,10
57936,2010200029,3.0,2010-04-17,43.276458,-2.418181,1,20,56,MUTRIKU,2,269,409,2010,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.418181 43.276458),19,0,56
57940,2010200036,6.51,2010-07-27,43.142869,-2.406955,1,20,74,BERGARA,2,405,499,2010,7,Gipuzkoa,Menos_de_24h,3,POINT (-2.406955 43.142869),19,0,33
57942,2010200042,1.22,2010-09-22,43.158166,-2.465037,1,20,33,ELGETA,2,300,440,2010,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.465037 43.158166),19,0,21
62242,2011200037,1.99,2011-10-24,43.328914,-1.930032,1,20,64,PASAIA,3,180,240,2011,10,Gipuzkoa,Menos_de_24h,4,POINT (-1.930032 43.328914),19,0,22
62243,2011200043,1.85,2011-12-16,43.000171,-2.27189,1,20,70,SEGURA,3,62,182,2011,12,Gipuzkoa,Menos_de_24h,4,POINT (-2.27189 43.000171),19,0,24
67843,2012200002,4.3,2012-02-24,43.166221,-2.499916,1,20,33,ELGETA,2,155,185,2012,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.499916 43.166221),19,0,5
67844,2012200003,1.17,2012-03-02,43.007357,-2.297781,1,20,26,ZERAIN,2,79,239,2012,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.297781 43.007357),19,0,7
67849,2012200012,2.3,2012-03-29,43.03138,-2.152492,1,20,78,ZALDIBIA,2,81,150,2012,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.152492 43.03138),19,0,21
67853,2012200026,8.66,2012-08-17,43.335058,-1.933255,1,20,69,DONOSTIA-SAN SEBASTIÁN,4,240,1776,2012,8,Gipuzkoa,Entre_1dia_y_1semana,3,POINT (-1.933255 43.335058),19,1,61
73067,2013200002,2.7,2013-03-10,43.178398,-2.156675,1,20,66,ERREZIL,2,150,180,2013,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.156675 43.178398),19,0,9
73068,2013200009,1.5,2013-08-01,43.053565,-2.482696,1,20,55,ARRASATE/MONDRAGÓN,2,192,1950,2013,8,Gipuzkoa,Entre_1dia_y_1semana,3,POINT (-2.482696 43.053565),19,0,16
73069,2013200013,1.0,2013-09-28,43.318961,-2.413212,1,20,56,MUTRIKU,3,385,385,2013,9,Gipuzkoa,Menos_de_24h,3,POINT (-2.413212 43.318961),19,0,31
73071,2013200027,9.26,2013-12-24,43.146595,-2.496879,1,20,33,ELGETA,3,679,712,2013,12,Gipuzkoa,Menos_de_24h,4,POINT (-2.496879 43.146595),19,0,31
73072,2013200028,5.0,2013-12-24,43.26781,-1.844922,1,20,63,OIARTZUN,3,200,325,2013,12,Gipuzkoa,Menos_de_24h,4,POINT (-1.844922 43.26781),19,0,20
76019,2014200007,1.0,2014-02-17,43.27132736,-2.32660829,1,20,29,DEBA,2,105,145,2014,2,Gipuzkoa,Menos_de_24h,1,POINT (-2.32660829 43.27132736),19,0,15
76020,2014200008,5.5,2014-03-10,43.34142325,-1.88494244,1,20,64,PASAIA,3,180,210,2014,3,Gipuzkoa,Menos_de_24h,1,POINT (-1.88494244 43.34142325),19,0,22
76021,2014200010,1.0,2014-03-16,42.9841366,-2.46686719,1,20,59,OÑATI,4,156,210,2014,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.46686719 42.9841366),19,1,11
76022,2014200011,8.0,2014-03-16,42.9674887,-2.51184153,1,20,34,ESKORIATZA,4,1268,1336,2014,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.51184153 42.9674887),19,1,19
76023,2014200012,3.2,2014-03-16,42.99816393,-2.48000794,1,20,13,ARETXABALETA,4,265,275,2014,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.48000794 42.99816393),19,1,11
76024,2014200013,1.8,2014-03-17,42.96614438,-2.49058999,1,20,34,ESKORIATZA,4,90,120,2014,3,Gipuzkoa,Menos_de_24h,1,POINT (-2.49058999 42.96614438),19,1,13
76029,2014200032,1.15,2014-11-23,43.17813122,-2.4137507,1,20,65,SORALUZE/PLASENCIA DE ARMAS,2,151,400,2014,11,Gipuzkoa,Menos_de_24h,4,POINT (-2.4137507 43.17813122),19,0,6
79433,2015200005,1.0,2015-04-15,43.19796712,-2.3629248,1,20,17,AZKOITIA,2,180,270,2015,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.3629248 43.19796712),19,0,13
79434,2015200007,17.5,2015-04-15,42.96929869,-2.51394863,1,20,34,ESKORIATZA,2,240,266,2015,4,Gipuzkoa,Menos_de_24h,2,POINT (-2.51394863 42.96929869),19,0,21
79436,2015200017,3.8,2015-08-28,43.01818066,-2.44516993,1,20,59,OÑATI,3,267,3567,2015,8,Gipuzkoa,Entre_1dia_y_1semana,3,POINT (-2.44516993 43.01818066),19,0,39
3,2001010008,7.5,2001-05-25,42.946479,-2.485163,1,1,13,BARRUNDIA,4,335,410,2001,5,Araba/Álava,Menos_de_24h,2,POINT (-2.485163 42.946479),0,1,7
9,2001010026,1.48,2001-08-22,43.001626,-2.901848,1,1,63,ZUIA,4,205,260,2001,8,Araba/Álava,Menos_de_24h,3,POINT (-2.901848 43.001626),0,1,30
10,2001010027,4.13,2001-08-22,43.010649,-2.926375,1,1,2,AMURRIO,4,280,350,2001,8,Araba/Álava,Menos_de_24h,3,POINT (-2.926375 43.010649),0,1,37
11,2001010029,7.9,2001-08-27,43.010649,-2.926375,1,1,2,AMURRIO,4,240,310,2001,8,Araba/Álava,Menos_de_24h,3,POINT (-2.926375 43.010649),0,1,28
12,2001010030,16.61,2001-08-27,43.010649,-2.926375,1,1,2,AMURRIO,4,350,440,2001,8,Araba/Álava,Menos_de_24h,3,POINT (-2.926375 43.010649),0,1,64
13,2001010031,191.65,2001-08-01,42.830563,-3.036705,1,1,55,VALDEGOVIA,3,1275,1590,2001,8,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-3.036705 42.830563),0,0,147
14,2001010033,5.1,2001-09-05,42.559562,-2.561447,1,1,31,LAGUARDIA,2,150,180,2001,9,Araba/Álava,Menos_de_24h,3,POINT (-2.561447 42.559562),0,0,10
16,2001010035,1.57,2001-09-18,42.812448,-2.84099,1,1,901,IRUÑA OKA/IRUÑA DE OCA,2,140,390,2001,9,Araba/Álava,Menos_de_24h,3,POINT (-2.84099 42.812448),0,0,35
17,2001010036,1.03,2001-09-21,42.758493,-2.914454,1,1,46,ERRIBERAGOITIA/RIBERA ALTA,2,80,240,2001,9,Araba/Álava,Menos_de_24h,3,POINT (-2.914454 42.758493),0,0,15
18,2001010037,1.4,2001-10-02,42.767515,-3.061114,1,1,902,LANTARÓN,2,90,105,2001,10,Araba/Álava,Menos_de_24h,4,POINT (-3.061114 42.767515),0,0,12
19,2001010039,2.37,2001-10-09,42.731456,-2.890059,1,1,6,ARMIÑÓN,2,255,365,2001,10,Araba/Álava,Menos_de_24h,4,POINT (-2.890059 42.731456),0,0,23
6929,2002010006,3.65,2002-02-02,42.918638,-2.326112,1,1,61,ZALDUONDO,4,150,210,2002,2,Araba/Álava,Menos_de_24h,1,POINT (-2.326112 42.918638),0,1,7
6930,2002010007,11.3,2002-02-02,42.955539,-2.497347,1,1,13,BARRUNDIA,4,420,480,2002,2,Araba/Álava,Menos_de_24h,1,POINT (-2.497347 42.955539),0,1,23
6931,2002010008,56.92,2002-02-02,42.955644,-2.521866,1,1,13,BARRUNDIA,4,420,480,2002,2,Araba/Álava,Menos_de_24h,1,POINT (-2.521866 42.955644),0,1,23
6940,2002010028,7.8,2002-03-28,42.955484,-2.485087,1,1,13,BARRUNDIA,4,270,300,2002,3,Araba/Álava,Menos_de_24h,1,POINT (-2.485087 42.955484),0,1,10
6941,2002010029,17.9,2002-03-28,42.955428,-2.472828,1,1,13,BARRUNDIA,4,270,300,2002,3,Araba/Álava,Menos_de_24h,1,POINT (-2.472828 42.955428),0,1,10
6948,2002010045,4.0,2002-07-20,42.523834,-2.646923,1,1,41,NAVARIDAS,1,135,150,2002,7,Araba/Álava,Menos_de_24h,3,POINT (-2.646923 42.523834),0,0,8
14754,2003010022,76.03,2003-08-04,43.064679,-2.926311,1,1,999,OTRA PROVINCIA,2,1149,1704,2003,8,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-2.926311 43.064679),0,0,65
14755,2003010023,12.54,2003-08-07,43.13674,-2.975408,1,1,36,LLODIO/LAUDIO,3,205,415,2003,8,Araba/Álava,Menos_de_24h,3,POINT (-2.975408 43.13674),0,0,37
14757,2003010025,14.1,2003-08-08,42.776495,-3.097796,1,1,55,VALDEGOVIA,1,900,1560,2003,8,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-3.097796 42.776495),0,0,16
14758,2003010028,8.4,2003-08-27,42.882547,-2.31426,1,1,9,ASPARRENA,2,110,329,2003,8,Araba/Álava,Menos_de_24h,3,POINT (-2.31426 42.882547),0,0,137
14759,2003010029,5.9,2003-08-29,42.812046,-2.657519,1,1,59,VITORIA-GASTEIZ,2,270,315,2003,8,Araba/Álava,Menos_de_24h,3,POINT (-2.657519 42.812046),0,0,18
14760,2003010033,5.74,2003-09-18,43.019654,-2.926364,1,1,2,AMURRIO,4,330,540,2003,9,Araba/Álava,Menos_de_24h,3,POINT (-2.926364 43.019654),0,1,8
14761,2003010034,15.33,2003-09-18,43.028651,-2.914079,1,1,2,AMURRIO,4,1020,1170,2003,9,Araba/Álava,Menos_de_24h,3,POINT (-2.914079 43.028651),0,1,55
14762,2003010035,7.78,2003-09-19,43.033163,-2.928803,1,1,2,AMURRIO,4,505,1150,2003,9,Araba/Álava,Menos_de_24h,3,POINT (-2.928803 43.033163),0,1,46
21382,2004010018,5.4,2004-07-02,42.559417,-2.524902,1,1,32,LANTZIEGO/LANCIEGO,2,210,315,2004,7,Araba/Álava,Menos_de_24h,3,POINT (-2.524902 42.559417),0,0,38
21383,2004010021,1.2,2004-07-14,42.541883,-2.659,1,1,57,ESKUERNAGA/VILLABUENA DE ÁLAVA,2,80,215,2004,7,Araba/Álava,Menos_de_24h,3,POINT (-2.659 42.541883),0,0,23
21384,2004010022,1.5,2004-07-16,42.668304,-2.804748,1,1,14,BERANTEVILLA,1,180,420,2004,7,Araba/Álava,Menos_de_24h,3,POINT (-2.804748 42.668304),0,0,24
21388,2004010037,3.66,2004-09-01,43.001667,-2.987731,1,1,2,AMURRIO,3,210,360,2004,9,Araba/Álava,Menos_de_24h,3,POINT (-2.987731 43.001667),0,0,50
21389,2004010038,3.11,2004-06-14,42.9924,-2.754657,1,1,18,ZIGOITIA,4,205,270,2004,6,Araba/Álava,Menos_de_24h,2,POINT (-2.754657 42.9924),0,1,14
29031,2005010009,2.7,2005-03-23,42.78414,-2.661341,1,1,59,VITORIA-GASTEIZ,4,60,180,2005,3,Araba/Álava,Menos_de_24h,1,POINT (-2.661341 42.78414),0,1,10
29032,2005010010,3.5,2005-03-23,43.103356,-3.125351,1,1,4,ARTZINIEGA,4,235,285,2005,3,Araba/Álava,Menos_de_24h,1,POINT (-3.125351 43.103356),0,1,23
29033,2005010011,5.1,2005-04-03,42.817393,-2.639141,1,1,59,VITORIA-GASTEIZ,4,85,240,2005,4,Araba/Álava,Menos_de_24h,2,POINT (-2.639141 42.817393),0,1,16
29038,2005010024,13.56,2005-07-26,42.739405,-2.918768,1,1,47,ERRIBERA BEITIA/RIBERA BAJA,3,239,314,2005,7,Araba/Álava,Menos_de_24h,3,POINT (-2.918768 42.739405),0,0,54
29040,2005010026,4.1,2005-07-27,42.789045,-2.909081,1,1,46,ERRIBERAGOITIA/RIBERA ALTA,2,168,335,2005,7,Araba/Álava,Menos_de_24h,3,POINT (-2.909081 42.789045),0,0,33
29043,2005010031,1.3,2005-08-08,42.891834,-2.363146,1,1,53,DONEMILIAGA/SAN MILLÁN,3,60,95,2005,8,Araba/Álava,Menos_de_24h,3,POINT (-2.363146 42.891834),0,0,35
29045,2005010035,2.94,2005-09-09,42.839343,-2.891826,1,1,20,KUARTANGO,3,190,280,2005,9,Araba/Álava,Menos_de_24h,3,POINT (-2.891826 42.839343),0,0,72
38045,2006010009,4.01,2006-04-15,42.918237,-2.329866,1,1,61,ZALDUONDO,4,255,300,2006,4,Araba/Álava,Menos_de_24h,2,POINT (-2.329866 42.918237),0,1,12
38047,2006010026,2.01,2006-08-23,43.1416,-3.035046,1,1,42,OKONDO,4,295,445,2006,8,Araba/Álava,Menos_de_24h,3,POINT (-3.035046 43.1416),0,1,20
38048,2006010031,1.16,2006-09-05,43.052534,-3.053537,1,1,10,AIARA/AYALA,4,160,315,2006,9,Araba/Álava,Menos_de_24h,3,POINT (-3.053537 43.052534),0,1,17
43637,2007010016,2.3,2007-10-13,42.514791,-2.6348,1,1,41,NAVARIDAS,4,150,185,2007,10,Araba/Álava,Menos_de_24h,4,POINT (-2.6348 42.514791),0,1,5
43638,2007010019,1.05,2007-10-27,42.540978,-2.494474,1,1,32,LANTZIEGO/LANCIEGO,4,85,110,2007,10,Araba/Álava,Menos_de_24h,4,POINT (-2.494474 42.540978),0,1,5
43639,2007010020,1.7,2007-10-27,42.535231,-2.492134,1,1,32,LANTZIEGO/LANCIEGO,4,100,115,2007,10,Araba/Álava,Menos_de_24h,4,POINT (-2.492134 42.535231),0,1,1
43640,2007010021,1.56,2007-11-08,42.551026,-2.477877,1,1,60,IECORA/YÉCORA,4,385,445,2007,11,Araba/Álava,Menos_de_24h,4,POINT (-2.477877 42.551026),0,1,11
47051,2008010014,1.32,2008-03-29,42.544014,-2.51351,1,1,32,LANTZIEGO/LANCIEGO,2,75,135,2008,3,Araba/Álava,Menos_de_24h,1,POINT (-2.51351 42.544014),0,0,9
47052,2008010015,3.1,2008-04-05,42.547227,-2.474352,1,1,60,IECORA/YÉCORA,2,90,125,2008,4,Araba/Álava,Menos_de_24h,2,POINT (-2.474352 42.547227),0,0,16
51404,2009010001,2.7,2009-02-15,42.5711,-2.521378,1,1,32,LANTZIEGO/LANCIEGO,2,45,75,2009,2,Araba/Álava,Menos_de_24h,1,POINT (-2.521378 42.5711),0,0,5
51406,2009010005,1.8,2009-03-17,42.775095,-2.425464,1,1,37,ARRAIA-MAEZTU,4,180,209,2009,3,Araba/Álava,Menos_de_24h,1,POINT (-2.425464 42.775095),0,1,10
51407,2009010017,1.4,2009-05-12,42.527364,-2.469259,1,1,60,IECORA/YÉCORA,2,95,160,2009,5,Araba/Álava,Menos_de_24h,2,POINT (-2.469259 42.527364),0,0,9
51409,2009010019,230.44,2009-07-22,42.903236,-2.626587,1,1,8,ARRAZUA-UBARRUNDIA,2,1040,3200,2009,7,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-2.626587 42.903236),0,0,76
51411,2009010023,7.53,2009-07-29,42.713893,-2.388696,1,1,17,KANPEZU/CAMPEZO,3,190,430,2009,7,Araba/Álava,Menos_de_24h,3,POINT (-2.388696 42.713893),0,0,50
51413,2009010028,1.05,2009-07-15,42.584538,-2.57157,1,1,31,LAGUARDIA,4,60,105,2009,7,Araba/Álava,Menos_de_24h,3,POINT (-2.57157 42.584538),0,1,15
51415,2009010039,1.22,2009-08-27,42.77794,-3.049217,1,1,902,LANTARÓN,2,140,950,2009,8,Araba/Álava,Menos_de_24h,3,POINT (-3.049217 42.77794),0,0,64
51416,2009010042,2.01,2009-09-08,42.544684,-2.538314,1,1,23,BILAR/ELVILLAR,2,130,185,2009,9,Araba/Álava,Menos_de_24h,3,POINT (-2.538314 42.544684),0,0,12
51417,2009010045,1.35,2009-10-18,42.559542,-2.499283,1,1,32,LANTZIEGO/LANCIEGO,2,165,225,2009,10,Araba/Álava,Menos_de_24h,4,POINT (-2.499283 42.559542),0,0,11
51418,2009010051,11.96,2009-09-13,42.889968,-2.331188,1,1,61,ZALDUONDO,2,115,1180,2009,9,Araba/Álava,Menos_de_24h,3,POINT (-2.331188 42.889968),0,0,33
57182,2010010003,1.42,2010-02-27,43.169583,-2.99487,1,1,42,OKONDO,3,135,190,2010,2,Araba/Álava,Menos_de_24h,1,POINT (-2.99487 43.169583),0,0,24
57183,2010010004,1.62,2010-02-28,43.042805,-2.959019,1,1,2,AMURRIO,3,180,190,2010,2,Araba/Álava,Menos_de_24h,1,POINT (-2.959019 43.042805),0,0,8
57184,2010010010,1.97,2010-06-03,42.741144,-3.01361,1,1,902,LANTARÓN,2,38,168,2010,6,Araba/Álava,Menos_de_24h,2,POINT (-3.01361 42.741144),0,0,24
57185,2010010011,1.3,2010-06-04,42.686747,-2.853322,1,1,14,BERANTEVILLA,2,53,278,2010,6,Araba/Álava,Menos_de_24h,2,POINT (-2.853322 42.686747),0,0,27
57186,2010010013,1.05,2010-06-05,42.637103,-2.848877,1,1,28,LABASTIDA,2,50,140,2010,6,Araba/Álava,Menos_de_24h,2,POINT (-2.848877 42.637103),0,0,34
57187,2010010014,1.02,2010-06-05,42.686747,-2.853322,1,1,14,BERANTEVILLA,2,55,230,2010,6,Araba/Álava,Menos_de_24h,2,POINT (-2.853322 42.686747),0,0,26
61095,2011010028,5.38,2011-07-17,42.597412,-2.785174,1,1,28,LABASTIDA,2,140,300,2011,7,Araba/Álava,Menos_de_24h,3,POINT (-2.785174 42.597412),0,0,35
61097,2011010040,1.17,2011-10-01,42.55939,-2.542725,1,1,23,BILAR/ELVILLAR,4,85,160,2011,10,Araba/Álava,Menos_de_24h,4,POINT (-2.542725 42.55939),0,1,11
61098,2011010041,1.56,2011-10-03,42.512853,-2.612498,1,1,22,ELCIEGO,2,150,165,2011,10,Araba/Álava,Menos_de_24h,4,POINT (-2.612498 42.512853),0,0,12
61099,2011010043,2.48,2011-10-16,42.570245,-2.510857,1,1,32,LANTZIEGO/LANCIEGO,4,67,172,2011,10,Araba/Álava,Menos_de_24h,4,POINT (-2.510857 42.570245),0,1,11
62756,2011260034,12.3,2011-05-23,42.57965,-2.838475,7,26,71,HARO,4,160,279,2011,5,"Rioja, La",Menos_de_24h,2,POINT (-2.838475 42.57965),0,1,18
66690,2012010009,31.5,2012-03-29,42.596745,-2.572864,1,1,31,LAGUARDIA,4,1048,1048,2012,3,Araba/Álava,Menos_de_24h,1,POINT (-2.572864 42.596745),0,1,80
66691,2012010013,1.0,2012-05-09,42.521148,-2.498895,1,1,32,LANTZIEGO/LANCIEGO,2,210,226,2012,5,Araba/Álava,Menos_de_24h,2,POINT (-2.498895 42.521148),0,0,5
66693,2012010024,4.45,2012-08-21,42.910486,-2.967217,1,1,20,KUARTANGO,4,110,560,2012,8,Araba/Álava,Menos_de_24h,3,POINT (-2.967217 42.910486),0,1,10
66694,2012010025,16.96,2012-08-21,42.963392,-2.514228,1,1,13,BARRUNDIA,4,374,1476,2012,8,Araba/Álava,Entre_1dia_y_1semana,3,POINT (-2.514228 42.963392),0,1,32
75319,2014010005,1.21,2014-03-11,42.54307983,-2.59504208,1,1,31,LAGUARDIA,4,115,160,2014,3,Araba/Álava,Menos_de_24h,1,POINT (-2.59504208 42.54307983),0,1,11
75320,2014010021,3.7,2014-08-25,42.75294488,-2.35652891,1,1,56,HARANA/VALLE DE ARANA,3,120,195,2014,8,Araba/Álava,Menos_de_24h,3,POINT (-2.35652891 42.75294488),0,0,51
6969,2002020063,7.0,2002-07-05,38.704387,-2.552208,11,2,8,ALCARAZ,2,103,593,2002,7,Albacete,Menos_de_24h,3,POINT (-2.552208 38.704387),1,0,56
6970,2002020064,1.0,2002-07-05,38.68645,-2.495981,11,2,8,ALCARAZ,3,103,388,2002,7,Albacete,Menos_de_24h,3,POINT (-2.495981 38.68645),1,0,45
6972,2002020067,4.0,2002-07-12,39.003172,-2.505255,11,2,19,"BONILLO, EL",3,125,380,2002,7,Albacete,Menos_de_24h,3,POINT (-2.505255 39.003172),1,0,77
6978,2002020083,1.0,2002-08-15,39.402811,-1.536593,11,2,79,VILLAMALEA,1,235,1695,2002,8,Albacete,Entre_1dia_y_1semana,3,POINT (-1.536593 39.402811),1,0,20
6979,2002020086,1.5,2002-08-17,39.29162,-1.190775,11,2,13,BALSA DE VES,1,105,675,2002,8,Albacete,Menos_de_24h,3,POINT (-1.190775 39.29162),1,0,37
6981,2002020089,3.0,2002-08-21,39.205475,-2.562247,11,2,81,VILLARROBLEDO,2,115,230,2002,8,Albacete,Menos_de_24h,3,POINT (-2.562247 39.205475),1,0,9
14766,2003020015,1.7,2003-03-19,39.389658,-1.506295,11,2,79,VILLAMALEA,2,120,240,2003,3,Albacete,Menos_de_24h,1,POINT (-1.506295 39.389658),1,0,6
14767,2003020018,3.5,2003-03-26,38.525983,-2.608956,11,2,16,BIENSERVIDA,2,140,380,2003,3,Albacete,Menos_de_24h,1,POINT (-2.608956 38.525983),1,0,42
14774,2003020047,1.0,2003-06-24,38.516686,-2.629447,11,2,16,BIENSERVIDA,2,85,170,2003,6,Albacete,Menos_de_24h,2,POINT (-2.629447 38.516686),1,0,27
14779,2003020068,1.0,2003-07-19,39.100177,-1.970342,11,2,35,"GINETA, LA",2,125,140,2003,7,Albacete,Menos_de_24h,3,POINT (-1.970342 39.100177),1,0,7
14780,2003020074,5.2,2003-07-20,39.034751,-1.64993,11,2,29,CHINCHILLA DE MONTE-ARAGÓN,1,195,1422,2003,7,Albacete,Menos_de_24h,3,POINT (-1.64993 39.034751),1,0,64
14781,2003020076,7.0,2003-07-22,38.640256,-2.461879,11,2,8,ALCARAZ,2,130,1750,2003,7,Albacete,Entre_1dia_y_1semana,3,POINT (-2.461879 38.640256),1,0,47
14786,2003020106,50.0,2003-08-15,38.525251,-2.177279,11,2,11,AYNA,1,249,4719,2003,8,Albacete,Entre_1dia_y_1semana,3,POINT (-2.177279 38.525251),1,0,183
14787,2003020107,4.0,2003-08-15,38.541529,-2.187983,11,2,11,AYNA,1,180,3240,2003,8,Albacete,Entre_1dia_y_1semana,3,POINT (-2.187983 38.541529),1,0,25
14790,2003020145,1.0,2003-09-29,38.681603,-2.475964,11,2,8,ALCARAZ,2,85,375,2003,9,Albacete,Menos_de_24h,3,POINT (-2.475964 38.681603),1,0,33
21393,2004020018,3.0,2004-04-13,39.153595,-1.704114,11,2,75,VALDEGANGA,2,295,345,2004,4,Albacete,Menos_de_24h,2,POINT (-1.704114 39.153595),1,0,14
21394,2004020019,1.0,2004-04-14,38.69874,-1.511233,11,2,33,FUENTE-ÁLAMO,2,60,85,2004,4,Albacete,Menos_de_24h,2,POINT (-1.511233 38.69874),1,0,13
21396,2004020027,4.69,2004-06-20,38.753969,-2.556813,11,2,8,ALCARAZ,3,60,170,2004,6,Albacete,Menos_de_24h,2,POINT (-2.556813 38.753969),1,0,16
21397,2004020029,3.6,2004-06-28,39.172204,-2.191232,11,2,69,"RODA, LA",3,55,480,2004,6,Albacete,Menos_de_24h,2,POINT (-2.191232 39.172204),1,0,26
21398,2004020030,1.5,2004-06-28,38.628823,-2.68837,11,2,8,ALCARAZ,1,55,150,2004,6,Albacete,Menos_de_24h,2,POINT (-2.68837 38.628823),1,0,49
